제목,작성 날짜,주최사,활동내용,모집 대상,활동 지역,활동 기간,모집 시작일,모집 마감일
 Al Gore 국제환경NGO 기후프로젝트 국내 기후변화리더 (14기) 모집 (~08/17),20180813,Al Gore 국제환경NGO 기후프로젝트,"기후프로젝트'기후변화리더'기후변화리더Connector(커넥터)는 지구촌 한 사람,한사람의 힘을 연결하여,지구환경문제해결을 위한 사회적 변화를 주도하는기후프로젝트 활동가의 명칭입니다.다큐멘터리‘불편한 진실(AnInconvenient Truth)’에서Al Gore전 미국 부통령이 했던 것과 같은Slideshow Presentation을 직접 담당하여 기후변화 대중교육과 시민실천운동을 주도합니다.기후변화리더활동기후변화 문제에 대한 대중의 인식을 변화시키고,기후변화 문제 해결을 위한 실천 의지를제고시키기 위한 기후변화 대중 환경교육을 담당할 것입니다.기후변화리더양성 프로그램: TCRP ClimateLeadership Training (앨고어씨 주관,국제행사), Connector(커넥터)양성교육기후변화대중교육 프로그램: TCRPPresentation, 24Hours of Reality,청소년 기후변화/환경교실,어린이 환경교실 등 참가기후변화리더(커넥터)월 정기미팅:미국본부로부터 받은 업데이트 자료 교육,커넥터 활동 발표 및 토의,행사 및 프리젠테이션 계획 발표 및논의,그 외 기타 교육 실시.일정은 매월 추후 사전 공지AlGore전 미국부통령이 직접 주관하는 기후변화 활동가 양성 국제행사:TCRPREALITY LEADERSHIP CORPS TRAINING,글로벌행사’24 Hours of Reality’,기타 등 국제 행사 홍보 및한국내 행사진행기후변화리더양성교육 프로그램 일환인 기후변화리더(커넥터)그룹활동Climate Reality Leadership Group Activity (must attendaccording to each one’s schedule): ‘지구의 지속 가능한 발전과 번영을 향하는길’을 고민하는 기후프로젝트 한국지부 리더십 프로그램 교육그룹<Climate Reality Leadership Group Activity >Climate + ActionClimate + PlanningClimate + LeadershipTCRP Presentation●기후변화대중교육프로그램:대학교/지자체(동,구)/기업/기타단체및기관내특강및공개강좌제공.●청소년(초중고)환경교육프로그램:청소년기후변화/환경교실홍보기획/경영지원기획운영,영상제작,미디어홍보,경영지원,번역등업무●기후프로젝트단체활동에관한전반적인홍보●대학/기관/단체/기업커뮤니케이션보조●홍보소식지제작및이멜발송●행사진행시사진촬영●동영상촬영및편집●단체의주요사업분야운영보조●문서작업●행사운영요원및프로젝트집행Climate Reality Leadership Training●기후프로젝트국제리더십트레이닝:단체설립자인Al Gore전미국부통령이직접참여,행사를주관하는국제행사●기후프로젝트국내리더십트레이닝:기후프로젝트한국지부가주관하는행사TCRP Action그룹●Al Gore전미국부통령이직접주관하는기후변화활동가양성하는국제행사:TCRPREALITY LEADERSHIP CORPS TRAINING,글로벌행사’24 Hours of Reality’,기타등국제행사홍보및한국내행사진행●정부기관행사참여및지역사회(시민참여)캠페인주관●환경과 기후의 소중함을 다시 한번 깨닫고 지속 가능한 지구환경사랑을 위한‘지구환경보존 및 멸종위기동물보호 관심과 나눔’실천 활동에 참여함으로써,지속 가능한 지구환경 회복.●저탄소/자원순환/에너지 절감 친환경 생활 실천이 시민의 생활 속에 정착될 수 있는 계기와 지구환경과 미래 인류 세대를 보호하고 지속가능한 삶으로의 변화를 위하여 많은 시민들의 관심과 참여를 촉진하여 환경교육참여,환경약자인 취약계층 및 생태계 보호 확대 실천운동 주도번역(교육자료영한번역,본부교육동영상영한번역등업무)●미국본부주요이슈뉴스및교육자료영한번역,●본부교육동영상영한번역,●간단한통역Humanitas (후마니타스,인문학)그룹●후마니타스교육그룹은글로벌리더의꿈을실현하는데도움이되는다양한인문지식이필요한이시대에꼭알아야할인문학적주제를다루며‘인생철학’과‘삶의지혜’를배우고지적욕구를충족시키며,폭넓고균형잡힌시각과인간적소양을높이고올바른가치관을형성하는그룹.●우리는어떤세계를만들고있는가?우리는어떤세계를만들어야하는가?우리는어떤세계를만들수있는가?●공공선의향상은핵심목표가되었고,시민사회의미덕을성취하는것은지성과상상력을최대한으로사용하는것과연관되어있다.●행동을강조하려면사유가특별히중요하다.정의,평등,진리같은가치들을이해하는것의중요성은,그저관심만갖는다고해서필요한것들을얻을수없다는것을점점확연하게드러낸다.●공적행동에초점을맞춘우리가발견한가장중요한것은어려운선택은선과악사이의선택이아니라경쟁하는선들사이의선택이라는것이다.이발견은변화를일으킨다.디자인자원활동(포토샵,일러스트,기타)●브로셔/팜플렛/소식지/각종홍보물디자인●홈페이지,웹디자인","환경문제에 대한 많은 관심과 더불어 지구환경보존실천을 하고자 하시는 모든 분들열정과 책임감 강하고 사회공헌 자원활동에 지대한 관심 있는 모든 분들교육이수 후6개월간 기후변화 대중교육(Presentation)활동의 실행을 서약하는 분(활동시행기간은 언제든지 연장가능)직장인,일반인,고등/대학생,기타 등.연령,성별,학벌,외국어실력 무관기후변화활동가 그룹활동및프로젝트참여시단체내부정보보완유지,모든교육자료저작권보호에대한분명한인식 졸업생 가능","기후프로젝트 한국지부 사무국(서울),서울지역 포함하여 전국 지역",양성교육OT이수후6개월간(활동시행기간은 언제든지 연장가능/부득이한 개인사정상 활동기간 논의가능),20180813,0
 [빨간클립봉사단]빨간클립봉사단·나눔콘서트 기획단 모집(~8.17),20180813,빨간클립봉사단,봉사활동 및 기부나눔콘서트 기획,"봉사활동 및 문화·예술 활동에 관심 있는 대학생(휴학생, 졸업생 가능)",수도권,~2018년 12월 말,20180813,20180817
 강동야학 교육봉사 신임교사 모집 (~8/15),20180813,강동야간학교,초등과학 및 초등사회 교사 모집(수업은 주1회 저녁 7:20~8:50분까지 진행됩니다.),"고등학교 교육 과정을 이수하신 (졸업 및 검정고시) 모든 분 지원 가능합니다(연령, 성별 제한 없습니다)","(주소 : 강동구 천호4동 398번지, 천호동성당 근처)   지하철 5,8호선 천호역에서 버스 세 정거장, 도보 15분 (버스 : 고분다리시장 정류장 하차)",임용후 최소 1년,20180813,20180815
 굿네이버스 좋은마음센터 서울동작 대학생 RubHeart 자원봉사자 모집(~8/26),20180813,굿네이버스," 복지사업(아동권리, 폭력 등 각종 캠페인, 홍보 사업, 캠페인 펀드레이저 활동 등)"," 화요일 또는 수요일 주 1회 활동이 가능한 대학생, 휴학생(졸업생 불가능)", 서울 전지역,,20180813,20180826
 위메이저(~8월 29일) 당신의 전공을 들려주세요! 위메이저에서 18 가을 봉사자를 모집합니다.,20180813,서울시청소속 비영리전공강연단체 '위메이저'," PPT 제작 및 스피치 교육 전공강연 및 멘토링 활동 다양한 전공의 대학생들과의 교류 홈커밍데이, 강연콘서트 등 다양한 활동",서울 및 수도권에서 활동 가능한 대학생 및 휴학생,서울 및 수도권(연 10 여회의 지방 강연 有),"2018년 9월 ~ 11월 사이 8주간 교육 후, 기간제한 없는 자유로운 활동 가능",20180813,20180829
 [꿀대외활동 D-2]즐거운 봉사하러 가즈아! 남서로타랙트(~8/15),20180813,국제로타리 3640지구 남서 로타랙트,"안녕하세요! 저희는 20세부터 만31세까지 남녀 누구나 함께 봉사활동을 하며 친목을 다지는 봉사 동아리, 남서 로타랙트입니다^^로타랙트는 국제 로타리 클럽의 후원을 받는 국제봉사단체인데요. 로타리 클럽은 한국에 17개의 지구가 있으며저희 '남서 로타랙트'는 그 중 서울 3640 지구에 속해있는 서울 남서 로타리 클럽의 후원을 받고 있습니다.현재는 서울시 강동구 암사동에 위치한 암사 재활원 이라는 중증 장애인 시설에서귀여운 아이들과 함께 놀이활동, 식사보조, 청소와 같은 봉사활동을 한 달에 한 번정기적으로 하고 있답니다ㅎㅎ또 서울 3640지구에는 저희 남서 로타랙트 클럽 말고도 9개의 클럽이 더 있어서다양한 종류의 봉사활동을 연합해서 함께 하고 있습니다^^정기 봉사활동장소: 서울시 강동구 암사동 암사재활원 센터(암사역 1번출구)시간: 매달 넷째 주 일요일 오전 10시 ~ 오후 1시봉사활동내용: 중증 장애를 가진 어린 아이들과 놀이 활동, 식사 보조, 청소장소: 서울특별시 영등포구 영등포동 3가 6번지, 영등포시장 지하쇼핑센터 1번출구시간: 매달 셋째 주 토요일 오전 10시 ~ 오후 2시봉사활동내용 : 독거노인분들을 대상으로 배식, 주방보조, 설거지, 테이블 세팅 등의 봉사지구 연합 봉사활동정기적으로 '생명사랑밤길걷기(범국민 자살예방 캠페인)', 사랑나눔 연탄봉사활동, 김장봉사활동 등다양한 연합 봉사를 진행하고 있습니다.타 클럽 봉사 교류 활동3640지구 내 10개의 클럽과 봉사활동 교류를 활발히 펼치고 있습니다.친목 활동 및 행사매년 3640지구 내 로타랙트 인들과 화합, 친목을 위해 '지구대회'라는 행사를 진행하고 있으며그 밖에도 MT, 번개, APRRC(해외 로타랙트 교류 행사), RYLA(리더십 연수 프로그램) 등행사를 통해 다양한 사람들과의 인맥을 넓힐 수 있습니다.","서울에서 활동 가능한 20세 ~ 만 31세 남녀 누구나!대학생, 대학원생, 직장인 모두 함께해요!동아리 활동에 성실하게 참여해 주실 분들은 더더욱 환영합니다! 졸업생 가능 여부만20세~ 만 31세 남녀라면 재학생, 졸업생, 직장인 관계없이 모두 가능합니다.",서울,2018년 8월 26일(일)부터(이 날 정기 봉사활동이 예정되어 있습니다),20180801,20180815
 제 10회 DMZ국제다큐영화제 자원활동가 大모집! 마감임박!(~8/14),20180813,DMZ국제다큐영화제,영화제 현장 및 사무국에서 영화제 기간 동안 영화제의 운영과 기획을 지원할 자원활동가 여러분들을 모집합니다 :),만 18세 이상 누구나 가능!,"메가박스 백석, 롯데시네마 파주 롯데 아울렛, 영화제 사무국(고양터미널 4층) 등 영화제 행사장 일대",9월 13일부터 9월 20일까지,20180813,20180814
 [JA Korea] BNP Paribas CIB와 JA Korea가 함께하는 금융교육 봉사단 모집(~8/17),20180813,BNP Paribas CIB  JA Korea,청소년방과후아카데미에 방문하여 BNP Paribas CIB 임직원들과 함께 금융교육 프로그램 진행,"사전교육 및 서울에서 활동 가능한 대학(원)생(재학생, 휴학생 가능)","서울 강남구 수서동, 은평구 응암동",2018년 8월 31일(금) ~ 11월 9일(금),20180806,20180817
 [빨간클립봉사단]빨간클립봉사단·나눔콘서트 기획단 모집(~8.17),20180812,빨간클립봉사단,봉사활동 및 기부나눔콘서트 기획,"봉사활동 및 문화·예술 활동에 관심 있는 대학생(휴학생, 졸업생 가능)",수도권,~2018년 12월 말,20180812,20180817
 [꿀봉사D-3]즐거운 봉사하러 가즈아! 남서로타랙트(8/1~8/15),20180812,국제로타리 3640지구 남서 로타랙트,"안녕하세요! 저희는 20세부터 만31세까지 남녀 누구나 함께 봉사활동을 하며 친목을 다지는 봉사 동아리, 남서 로타랙트입니다^^로타랙트는 국제 로타리 클럽의 후원을 받는 국제봉사단체인데요. 로타리 클럽은 한국에 17개의 지구가 있으며저희 '남서 로타랙트'는 그 중 서울 3640 지구에 속해있는 서울 남서 로타리 클럽의 후원을 받고 있습니다.현재는 서울시 강동구 암사동에 위치한 암사 재활원 이라는 중증 장애인 시설에서귀여운 아이들과 함께 놀이활동, 식사보조, 청소와 같은 봉사활동을 한 달에 한 번정기적으로 하고 있답니다ㅎㅎ또 서울 3640지구에는 저희 남서 로타랙트 클럽 말고도 9개의 클럽이 더 있어서다양한 종류의 봉사활동을 연합해서 함께 하고 있습니다^^정기 봉사활동장소: 서울시 강동구 암사동 암사재활원 센터(암사역 1번출구)시간: 매달 넷째 주 일요일 오전 10시 ~ 오후 1시봉사활동내용: 중증 장애를 가진 어린 아이들과 놀이 활동, 식사 보조, 청소장소: 서울특별시 영등포구 영등포동 3가 6번지, 영등포시장 지하쇼핑센터 1번출구시간: 매달 셋째 주 토요일 오전 10시 ~ 오후 2시봉사활동내용 : 독거노인분들을 대상으로 배식, 주방보조, 설거지, 테이블 세팅 등의 봉사지구 연합 봉사활동정기적으로 '생명사랑밤길걷기(범국민 자살예방 캠페인)', 사랑나눔 연탄봉사활동, 김장봉사활동 등다양한 연합 봉사를 진행하고 있습니다.타 클럽 봉사 교류 활동3640지구 내 10개의 클럽과 봉사활동 교류를 활발히 펼치고 있습니다.친목 활동 및 행사매년 3640지구 내 로타랙트 인들과 화합, 친목을 위해 '지구대회'라는 행사를 진행하고 있으며그 밖에도 MT, 번개, APRRC(해외 로타랙트 교류 행사), RYLA(리더십 연수 프로그램) 등행사를 통해 다양한 사람들과의 인맥을 넓힐 수 있습니다.","서울에서 활동 가능한 20세 ~ 만 31세 남녀 누구나!대학생, 대학원생, 직장인 모두 함께해요!동아리 활동에 성실하게 참여해 주실 분들은 더더욱 환영합니다! 졸업생 가능 여부만20세~ 만 31세 남녀라면 재학생, 졸업생, 직장인 관계없이 모두 가능합니다.",서울,2018년 8월 26일(일)부터(이 날 정기 봉사활동이 예정되어 있습니다),20180801,20180815
 강동야학 교육봉사 신임교사 모집 (~8/15),20180812,강동야간학교,초등과학 및 초등사회 교사 모집(수업은 주1회 저녁 7:20~8:50분까지 진행됩니다.),"고등학교 교육 과정을 이수하신 (졸업 및 검정고시) 모든 분 지원 가능합니다(연령, 성별 제한 없습니다)","(주소 : 강동구 천호4동 398번지, 천호동성당 근처)   지하철 5,8호선 천호역에서 버스 세 정거장, 도보 15분 (버스 : 고분다리시장 정류장 하차)",임용후 최소 1년,20180812,20180815
 [CJ그룹] 꿀 대외활동 보장! CJ도너스캠프 대학생봉사단 모집(오늘 마감),20180812,CJ나눔재단," 창의학교 : 문화/예술 교육멘토링(초등학생 대상), 주 1회 2.5시간 공부방 방문 교육진행(총 12회), 12월 말 창의학교 스테이지 준비 인성학교 : 9~12월 프로그램 기획/운영 준비 회의 및 활동(월 2회) 및 CJ도너스캠프 아우름 프로젝트 연계 프로그램 개발/운영, 10월 말 가족인성학교 참여  기자단 : 창의학교, 인성학교 활동 현장 취재 및 월별 컨텐츠 제작 및 발행"," 전국 대학생(재학생, 휴학생), 대학원생"," 창의학교 : 전국 도너스캠프 공부방(주로 수도권, 창의학교 전남 제외) 인성학교 : CJ 인재원, 인생학교 서울, 캠프 지역 기자단 : CJ 인재원, 각 촬영 지역"," 8/24 ~ 8/27(발대식, 입문교육) 9~12월(봉사단 활동)",20180812,20180812
 [부산봉사] SCI 국제시민봉사회 부산경남지부에서 대학생 자원봉사자를 모집합니다 ~,20180811,sci 국제시민봉사회 부산경남지부,"일일 봉사, 주말 봉사, 정기적 모임",부산경남소재 대학생,부산,모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.,20180811,0
 뚝섬 아름다운나눔장터 자원활동가 모집(~8/20),20180811,아름다운가게,"나눔캠페인:어린이,환경,나눔등다양한캠페인진행인터넷예약확인처:참가자접수확인및안내등운영사무소:방송,운영지원및안내등행사장관리:행사장내질서유지및안내등출입구관리:출입구안전관리및안내등기증처:기증물품수령및안내등",만19세이상성인(외국인의경우메일문의)나눔과재사용운동에동참하고자하는자 졸업생 가능,"뚝섬유원지역2, 3번출구앞광장"," 활동가 OT : 2018년 8월 23일(목) 19:00 ~ 21:00* 활동 후 봉사시간 인정*아름다운가게 안국점 2층 교육장(서울 종로구 북촌로 21)현장활동 : 2018년 8월 25일(토) ~ 10월 28일(일) 09:00 ~ 17:00 (점심/간식 제공)* 가능한 일자에 활동 (1회 활동 가능)* 뚝섬유원지역 2, 3번 출구 앞 광장* 야외행사로 진행되어 기상상황에 따라 변경 및 취소될 수도 있습니다.",20180811,선착순
 [JA Korea] BNP Paribas CIB와 JA Korea가 함께하는 금융교육 봉사단 모집(~8/17),20180811,BNP Paribas CIB  JA Korea,청소년방과후아카데미에 방문하여 BNP Paribas CIB 임직원들과 함께 금융교육 프로그램 진행,"사전교육 및 서울에서 활동 가능한 대학(원)생(재학생, 휴학생 가능)","서울 강남구 수서동, 은평구 응암동",2018년 8월 31일(금) ~ 11월 9일(금),20180806,20180817
" 아름다운가게 종로책방, 세종로책방(광화문) 2학기 정기 자원봉사자 모집 (~9.2)",20180811,름다운가게 책방, 기증품(책/음반) 관리 책방 매장 운영 도서 문화 관련캠페인,"대학생/졸업생/취업준비생/직장인/외국인졸업생 가능 여부 (O,X)O","1. 아름다운가게 종로책방: 서울 1호선 종각역 4번출구 스타벅스 종각점 지하 1층 / 종로구 종로 64 백합빌딩 b12. 아름다운가게 세종로(광화문)책방: 광화문역, 세종문화회관 바로 옆 / 종로구 세종대로 189 세종로공원 지하 1층",1. 종로책방: 18년 9월 3일 ~ 12월31일2. 세종로(광화문)책방: 18년 9월 3일 ~ 12월23일* 활동기간 종료 후다음 기수(겨울방학)연장 활동 가능.(본인 선택)* 연장 활동 시스케줄(요일/시간 변경 가능),20180811,20180902
 [CJ그룹] 대학생봉사단 2기 모집 (~8/12),20180811,CJ나눔재단,"창의학교:문화/예술 교육멘토링(초등학생 대상),주1회2.5시간 공부방 방문 교육진행(총12회), 12월 말 창의학교 스테이지 준비인성학교: 9~12월 프로그램 기획/운영 준비 회의 및 활동(월2회)및CJ도너스캠프 아우름 프로젝트 연계 프로그램 개발/운영, 10월 말 가족인성학교 참여기자단:창의학교,인성학교 활동 현장 취재 및 월별 컨텐츠 제작 및 발행","전국 대학생(재학생,휴학생),대학원생","창의학교:전국 도너스캠프 공부방(주로 수도권,창의학교 전남 제외)인성학교: CJ인재원,인생학교 서울,캠프 지역 기자단: CJ인재원,각 촬영 지역"," 8/24 ~ 8/27(발대식,입문교육) 9~12월(봉사단 활동)",20180811,20180812
" 서초 4차산업 가족체험 페스티벌 ""밝은 미래를 꿈꾸다"" 자원봉사자 모집(~8/29)",20180810,서초구구립 방배유스센터,"봉사활동 사전교육 실시 (8/30)페스티벌(9/1) 자원봉사 무대 및 객석 관리 보조 체험부스 보조진행 가족놀이존 안내 및 안전 관리 운영본부/공연팀 대기실 관리 행사장 주변 홍보 및 안내, 환경관리 , 안전관리",만 18세 이상 대학생 및 성인 (사전교육과 행사일 양일 모두 참석 가능한 분),서초구,"8/30(목) 15:00~17:00, 방배유스센터 4층 강당  사전교육 OT9/1(토) 09:00~18:00, 서초문화예술공원  행사일",20180810,20180829
 [CJ그룹] CJ도너스캠프 대학생봉사단 2기 모집(~8/12),20180810,CJ나눔재단," 창의학교 : 문화/예술 교육멘토링(초등학생 대상), 주 1회 2.5시간 공부방 방문 교육진행(총 12회), 12월 말 창의학교 스테이지 준비 인성학교 : 9~12월 프로그램 기획/운영 준비 회의 및 활동(월 2회) 및 CJ도너스캠프 아우름 프로젝트 연계 프로그램 개발/운영, 10월 말 가족인성학교 참여  기자단 : 창의학교, 인성학교 활동 현장 취재 및 월별 컨텐츠 제작 및 발행"," 전국 대학생(재학생, 휴학생), 대학원생"," 창의학교 : 전국 도너스캠프 공부방(주로 수도권, 창의학교 전남 제외) 인성학교 : CJ 인재원, 인생학교 서울, 캠프 지역 기자단 : CJ 인재원, 각 촬영 지역"," 8/24 ~ 8/27(발대식, 입문교육) 9~12월(봉사단 활동)",20180810,20180812
 즐거운 봉사하러 가즈아! 남서로타랙트(8/1~8/15),20180810,국제로타리 3640지구 남서 로타랙트,"안녕하세요! 저희는 20세부터 만31세까지 남녀 누구나 함께 봉사활동을 하며 친목을 다지는 봉사 동아리, 남서 로타랙트입니다^^로타랙트는 국제 로타리 클럽의 후원을 받는 국제봉사단체인데요. 로타리 클럽은 한국에 17개의 지구가 있으며저희 '남서 로타랙트'는 그 중 서울 3640 지구에 속해있는 서울 남서 로타리 클럽의 후원을 받고 있습니다.현재는 서울시 강동구 암사동에 위치한 암사 재활원 이라는 중증 장애인 시설에서귀여운 아이들과 함께 놀이활동, 식사보조, 청소와 같은 봉사활동을 한 달에 한 번정기적으로 하고 있답니다ㅎㅎ또 서울 3640지구에는 저희 남서 로타랙트 클럽 말고도 9개의 클럽이 더 있어서다양한 종류의 봉사활동을 연합해서 함께 하고 있습니다^^정기 봉사활동장소: 서울시 강동구 암사동 암사재활원 센터(암사역 1번출구)시간: 매달 넷째 주 일요일 오전 10시 ~ 오후 1시봉사활동내용: 중증 장애를 가진 어린 아이들과 놀이 활동, 식사 보조, 청소장소: 서울특별시 영등포구 영등포동 3가 6번지, 영등포시장 지하쇼핑센터 1번출구시간: 매달 셋째 주 토요일 오전 10시 ~ 오후 2시봉사활동내용 : 독거노인분들을 대상으로 배식, 주방보조, 설거지, 테이블 세팅 등의 봉사지구 연합 봉사활동정기적으로 '생명사랑밤길걷기(범국민 자살예방 캠페인)', 사랑나눔 연탄봉사활동, 김장봉사활동 등다양한 연합 봉사를 진행하고 있습니다.타 클럽 봉사 교류 활동3640지구 내 10개의 클럽과 봉사활동 교류를 활발히 펼치고 있습니다.친목 활동 및 행사매년 3640지구 내 로타랙트 인들과 화합, 친목을 위해 '지구대회'라는 행사를 진행하고 있으며그 밖에도 MT, 번개, APRRC(해외 로타랙트 교류 행사), RYLA(리더십 연수 프로그램) 등행사를 통해 다양한 사람들과의 인맥을 넓힐 수 있습니다.","서울에서 활동 가능한 20세 ~ 만 31세 남녀 누구나!대학생, 대학원생, 직장인 모두 함께해요!동아리 활동에 성실하게 참여해 주실 분들은 더더욱 환영합니다! 졸업생 가능 여부만20세~ 만 31세 남녀라면 재학생, 졸업생, 직장인 관계없이 모두 가능합니다.",서울,2018년 8월 26일(일)부터(이 날 정기 봉사활동이 예정되어 있습니다),20180801,20180815
